"id";"grupo";"caixa";"porta_cto";"status";"rn"
2035488;1055;42;4;L;2
2035489;1055;42;5;L;2
2035490;1055;42;6;L;2
2035491;1055;42;7;L;2
2035492;1055;42;8;L;2
2035493;1055;43;1;L;2
2035494;1055;43;2;L;2
2035495;1055;43;3;L;2
2035496;1055;43;4;L;2
2035497;1055;43;5;L;2
2035498;1055;43;6;L;2
2035499;1055;43;7;L;2
2035500;1055;43;8;L;2
2035501;1055;44;1;L;2
2035502;1055;44;2;L;2
2035503;1055;44;3;L;2
2035504;1055;44;4;L;2
2035505;1055;44;5;L;2
2035506;1055;44;6;L;2
2035507;1055;44;7;L;2
2035508;1055;44;8;L;2
2035509;1055;45;1;L;2
2035510;1055;45;2;L;2
2035511;1055;45;3;L;2
156390;1055;45;4;L;2
2035513;1055;45;5;L;2
2035514;1055;45;6;L;2
2035515;1055;45;7;L;2
2035516;1055;45;8;L;2
2035517;1055;46;1;L;2
2035518;1055;46;2;L;2
2035519;1055;46;3;L;2
2035520;1055;46;4;L;2
2035521;1055;46;5;L;2
2035522;1055;46;6;L;2
2035523;1055;46;7;L;2
2035524;1055;46;8;L;2
2035525;1055;49;1;L;2
2035526;1055;49;2;L;2
2035527;1055;49;3;L;2
2035528;1055;49;4;L;2
2035529;1055;49;5;L;2
2035530;1055;49;6;L;2
2035531;1055;49;7;L;2
156410;1055;49;8;L;2
2035533;1055;50;1;L;2
2035534;1055;50;2;L;2
2035535;1055;50;3;L;2
2035536;1055;50;4;L;2
2035537;1055;50;5;L;2
2035538;1055;50;6;L;2
2035539;1055;50;7;L;2
2035540;1055;50;8;L;2
2035541;1055;51;1;L;2
2035542;1055;51;2;L;2
2035543;1055;51;3;L;2
2035544;1055;51;4;L;2
2035545;1055;51;5;L;2
2035546;1055;51;6;L;2
2035547;1055;51;7;L;2
2035548;1055;51;8;L;2
2035549;1055;52;1;L;2
2035550;1055;52;2;L;2
2035551;1055;52;3;L;2
2035552;1055;52;4;L;2
2035553;1055;52;5;L;2
2035554;1055;52;6;L;2
2035555;1055;52;7;L;2
2035556;1055;52;8;L;2
2035557;1055;53;1;L;2
2035558;1055;53;2;L;2
2035559;1055;53;3;L;2
2035560;1055;53;4;L;2
2035561;1055;53;5;L;2
2035562;1055;53;6;L;2
2035563;1055;53;7;L;2
2035564;1055;53;8;L;2
2035565;1055;54;1;L;2
2035566;1055;54;2;L;2
2035567;1055;54;3;L;2
2035568;1055;54;4;L;2
2035569;1055;54;5;L;2
2035570;1055;54;6;L;2
2035571;1055;54;7;L;2
2035572;1055;54;8;L;2
2035573;1055;55;1;L;2
2035574;1055;55;2;L;2
2035575;1055;55;3;L;2
2035576;1055;55;4;L;2
2035577;1055;55;5;L;2
2035578;1055;55;6;L;2
2035579;1055;55;7;L;2
2035580;1055;55;8;L;2
2035581;1055;56;1;L;2
2035582;1055;56;2;L;2
2035583;1055;56;3;L;2
2035584;1055;56;4;L;2
2035585;1055;56;5;L;2
2035586;1055;56;6;L;2
156465;1055;56;7;L;2
2035588;1055;56;8;L;2
2035589;1055;57;1;L;2
2035590;1055;57;2;L;2
2035591;1055;57;3;L;2
2035592;1055;57;4;L;2
2035593;1055;57;5;L;2
2035594;1055;57;6;L;2
2035595;1055;57;7;L;2
2035596;1055;57;8;L;2
2035597;1055;58;1;L;2
2035598;1055;58;2;L;2
2035599;1055;58;3;L;2
2035600;1055;58;4;L;2
2035601;1055;58;5;L;2
2035602;1055;58;6;L;2
2035603;1055;58;7;L;2
2035604;1055;58;8;L;2
2035605;1055;59;1;L;2
2035606;1055;59;2;L;2
2035607;1055;59;3;L;2
2035608;1055;59;4;L;2
2035609;1055;59;5;L;2
2035610;1055;59;6;L;2
2035611;1055;59;7;L;2
2035612;1055;59;8;L;2
2035613;1055;60;1;L;2
2035614;1055;60;2;L;2
2035615;1055;60;3;L;2
2035616;1055;60;4;L;2
2035617;1055;60;5;L;2
2035618;1055;60;6;L;2
2035619;1055;60;7;L;2
2035620;1055;60;8;L;2
2035621;1055;61;1;L;2
2035622;1055;61;2;L;2
2035623;1055;61;3;L;2
2035624;1055;61;4;L;2
2035625;1055;61;5;L;2
2035626;1055;61;6;L;2
2035627;1055;61;7;L;2
2035628;1055;61;8;L;2
2035629;1055;62;1;L;2
2035630;1055;62;2;L;2
2035631;1055;62;3;L;2
2035632;1055;62;4;L;2
2035633;1055;62;5;L;2
2035634;1055;62;6;L;2
2035635;1055;62;7;L;2
2035636;1055;62;8;L;2
2035637;1055;63;1;L;2
2035638;1055;63;2;L;2
2035639;1055;63;3;L;2
2035640;1055;63;4;L;2
2035641;1055;63;5;L;2
2035642;1055;63;6;L;2
2035643;1055;63;7;L;2
2035644;1055;63;8;L;2
2035645;1055;64;1;L;2
2035646;1055;64;2;A;2
2035647;1055;64;3;L;2
2035648;1055;64;4;L;2
2035649;1055;64;5;L;2
2035650;1055;64;6;L;2
2035651;1055;64;7;L;2
2035652;1055;64;8;L;2
2035653;1055;66;1;L;2
2035654;1055;66;2;L;2
2035655;1055;66;3;L;2
2035656;1055;66;4;L;2
2035657;1055;66;5;L;2
2035658;1055;66;6;L;2
2035659;1055;66;7;L;2
2035660;1055;66;8;L;2
2035661;1055;67;1;L;2
2035662;1055;67;2;L;2
2035663;1055;67;3;L;2
2035664;1055;67;4;L;2
2035665;1055;67;5;L;2
2035666;1055;67;6;L;2
2035667;1055;67;7;L;2
2035668;1055;67;8;L;2
2035669;1055;68;1;L;2
2035670;1055;68;2;L;2
2035671;1055;68;3;L;2
2035672;1055;68;4;L;2
2035673;1055;68;5;L;2
2035674;1055;68;6;L;2
2035675;1055;68;7;L;2
2035676;1055;68;8;L;2
2035677;1055;69;1;L;2
2035678;1055;69;2;L;2
2035679;1055;69;3;L;2
156566;1055;69;4;L;2
2035681;1055;69;5;L;2
2035682;1055;69;6;L;2
2035683;1055;69;7;L;2
2035684;1055;69;8;L;2
2035685;1055;70;1;L;2
2035686;1055;70;2;L;2
2035687;1055;70;3;L;2
2035688;1055;70;4;L;2
2035689;1055;70;5;L;2
2035690;1055;70;6;L;2
2035691;1055;70;7;L;2
2035692;1055;70;8;L;2
2035693;1055;71;1;L;2
2035694;1055;71;2;L;2
2035695;1055;71;3;L;2
2035696;1055;71;4;L;2
2035697;1055;71;5;L;2
2035698;1055;71;6;L;2
2035699;1055;71;7;L;2
2035700;1055;71;8;L;2
2035701;1055;72;1;L;2
2035702;1055;72;2;L;2
2035703;1055;72;3;L;2
2035704;1055;72;4;L;2
2035705;1055;72;5;L;2
2035706;1055;72;6;L;2
2035707;1055;72;7;L;2
2035708;1055;72;8;L;2
2035709;1055;73;1;L;2
2035710;1055;73;2;L;2
2035711;1055;73;3;L;2
2035712;1055;73;4;L;2
2035713;1055;73;5;L;2
2035714;1055;73;6;L;2
2035715;1055;73;7;L;2
2035716;1055;73;8;A;2
2035717;1055;74;1;L;2
2035718;1055;74;2;L;2
2035719;1055;74;3;L;2
2035720;1055;74;4;L;2
2035721;1055;74;5;A;2
2035722;1055;74;6;L;2
2035723;1055;74;7;L;2
2035724;1055;74;8;L;2
2035725;1055;75;1;L;2
2035726;1055;75;2;L;2
2035727;1055;75;3;L;2
156614;1055;75;4;L;2
